Club,Season,GW_Played,Goals_Scored,Goals_Conceded,Goal_Difference,Expenditure,Income,Net,Points,Points_per_GW,Expenditure_per_Point_per_GW,Manager,Owner,Champion,Relegated
SOU,2013,38,54,46,8,-45.14,4.79,-40.35,56,1.473684211,-30.63071429,Pochettino,Jisheng,FALSE,FALSE
STK,2013,38,45,52,-7,-7.98,0,-7.98,50,1.315789474,-6.0648,Hughes,Coates,FALSE,FALSE
NEW,2013,38,43,59,-16,-4.33,29.49,25.16,49,1.289473684,-3.357959184,Pardew,Ashley,FALSE,FALSE
CRY,2013,38,33,48,-15,-37.61,0,-37.61,45,1.184210526,-31.75955556,Pullis,Parish,FALSE,FALSE
SWA,2013,38,54,54,0,-30.34,0,-30.34,42,1.105263158,-27.45047619,Laudrup,Nurse,FALSE,FALSE
WHU,2013,38,40,51,-11,-27.36,0.604,-26.756,40,1.052631579,-25.992,Allardyce,Sullivan,FALSE,FALSE
SUN,2013,38,41,60,-19,-38.66,25.51,-13.15,38,1,-38.66,Poyet,Short,FALSE,FALSE
AVL,2013,38,39,61,-22,-22.62,9.23,-13.39,38,1,-22.62,Lambert,Lerner,FALSE,FALSE
HUL,2013,38,38,53,-15,-35.45,1,-34.45,37,0.973684211,-36.40810811,Bruce,Allam,FALSE,FALSE
WBA,2013,38,43,59,-16,-17.90,13,-4.9,36,0.947368421,-18.89444444,Mel,Peace,FALSE,FALSE
NOR,2013,38,28,62,-34,-34.26,5.51,-28.75,33,0.868421053,-39.45090909,Hughton,Jones,FALSE,TRUE
FUL,2013,38,40,85,-45,-33.63,4.73,-28.9,32,0.842105263,-39.935625,Meulensteen,Al-Fayed,FALSE,TRUE
CAR,2013,38,32,74,-42,-52.23,4.26,-47.97,30,0.789473684,-66.158,MacKay,Tan,FALSE,TRUE
MAN,2012,38,86,43,43,-87.15,11,-76.15,89,2.342105263,-37.21011236,Ferguson,Glazer,TRUE,FALSE
MCI,2012,38,66,34,32,-70.62,50.5,-20.12,78,2.052631579,-34.40461538,Mancini,City_Football,FALSE,FALSE
CHE,2012,38,75,39,36,-125.06,29.01,-96.05,75,1.973684211,-63.36373333,Benitez,Abramovich,FALSE,FALSE
ARS,2012,38,72,37,35,-63.84,75.07,11.23,73,1.921052632,-33.23178082,Wenger,ITV_plc,FALSE,FALSE
TOT,2012,38,66,46,20,-83.51,82.97,-0.54,72,1.894736842,-44.07472222,Villas_Boas,ENIC,FALSE,FALSE
EVE,2012,38,55,40,15,-24.68,21.38,-3.3,63,1.657894737,-14.88634921,Moyes,Woods,FALSE,FALSE
LIV,2012,38,71,43,28,-80.48,11.91,-68.57,61,1.605263158,-50.13508197,Rodgers,Fenway,FALSE,FALSE
WBA,2012,38,53,57,-4,-5.70,4.25,-1.45,49,1.289473684,-4.420408163,Clarke,Peace,FALSE,FALSE
SWA,2012,38,47,51,-4,-23.34,37.16,13.82,46,1.210526316,-19.28086957,Laudrup,Nurse,FALSE,FALSE
WHU,2012,38,45,53,-8,-27.24,5.76,-21.48,46,1.210526316,-22.5026087,Allardyce,Sullivan,FALSE,FALSE
NOR,2012,38,41,58,-17,-12.63,0.433,-12.197,44,1.157894737,-10.90772727,Hughton,Jones,FALSE,FALSE
FUL,2012,38,50,60,-10,-11.40,35.82,24.42,43,1.131578947,-10.0744186,Jol,Al-Fayed,FALSE,FALSE
STK,2012,38,34,45,-11,-27.00,0.73,-26.27,42,1.105263158,-24.42857143,Pulis,Coates,FALSE,FALSE
SOU,2012,38,49,60,-11,-47.31,0,-47.31,41,1.078947368,-43.84829268,Adkins,Jisheng,FALSE,FALSE
